id,case_id,event_type,actor_type,actor_id,reason,metadata_json,timestamp
AUD-44a02ba3,CASE-1021,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,000.00","{""amount_at_risk"": 2000.0, ""score"": 87, ""policy"": ""AUTO""}",2026-08-28T09:16:04.270951
AUD-417beced,CASE-1032,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for CHECKOUT_ABANDONMENT amount ₹8,500.00","{""amount_at_risk"": 8500.0, ""score"": 75, ""policy"": ""HUMAN""}",2026-08-27T18:16:04.270951
AUD-740359de,CASE-1048,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹25,000.00","{""amount_at_risk"": 25000.0, ""score"": 10, ""policy"": ""BLOCK""}",2026-08-26T19:16:04.270951
AUD-92d8f48d,CASE-1088,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for SUBSCRIPTION_FAILURE amount ₹2,000.00","{""amount_at_risk"": 2000.0, ""score"": 65, ""policy"": ""HUMAN""}",2026-08-27T08:16:04.272959
AUD-97be5be5,CASE-1102,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for OVERDUE_INVOICE amount ₹75,000.00","{""amount_at_risk"": 75000.0, ""score"": 55, ""policy"": ""HUMAN""}",2026-08-26T17:16:04.272959
AUD-80b6ee64,CASE-2005,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 79, ""policy"": ""HUMAN""}",2026-08-28T01:16:04.272959
AUD-57394e7f,CASE-2006,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 70, ""policy"": ""HUMAN""}",2026-08-27T22:16:04.272959
AUD-52c4a0c8,CASE-2007,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 93, ""policy"": ""AUTO""}",2026-08-26T14:16:04.272959
AUD-f2ac9dbf,CASE-2008,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 72, ""policy"": ""HUMAN""}",2026-08-27T21:16:04.272959
AUD-281d9596,CASE-2009,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 67, ""policy"": ""HUMAN""}",2026-08-26T14:16:04.272959
