id,case_id,diagnosis,recovery_score,recommended_action,delay_minutes,expected_recovery_value,reason,created_at
REC-67e64f75,CASE-1021,TEMPORARY_FAILURE,87,RETRY,30,1720.0,AI Recommendation for FAILED_PAYMENT: TEMPORARY_BANK_ERROR,2026-08-28T09:16:04.270951
REC-6cc0cd5d,CASE-1032,TEMPORARY_FAILURE,75,REMIND,30,6355.0,AI Recommendation for CHECKOUT_ABANDONMENT: SESSION_TIMEOUT,2026-08-27T18:16:04.270951
REC-eb577386,CASE-1048,AMBIGUOUS_STATE,10,STOP,30,2480.0,AI Recommendation for FAILED_PAYMENT: GATEWAY_TIMEOUT_AMBIGUOUS,2026-08-26T19:16:04.270951
REC-4ef0b9d7,CASE-1088,INSUFFICIENT_FUNDS,65,RETRY,30,1280.0,AI Recommendation for SUBSCRIPTION_FAILURE: CARD_EXPIRED,2026-08-27T08:16:04.272959
REC-8a4eded1,CASE-1102,INSUFFICIENT_FUNDS,55,ESCALATE,30,41230.0,AI Recommendation for OVERDUE_INVOICE: INVOICE_OVERDUE_18_DAYS,2026-08-26T17:16:04.272959
REC-765c2fb9,CASE-2005,TEMPORARY_FAILURE,79,RETRY,30,9208.96,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T01:16:04.272959
REC-ffe8c371,CASE-2006,INSUFFICIENT_FUNDS,70,RETRY,30,5007.56,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T22:16:04.272959
REC-d03b6289,CASE-2007,TEMPORARY_FAILURE,93,RETRY,30,1078.54,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:04.272959
REC-4e54b6ed,CASE-2008,TEMPORARY_FAILURE,72,RETRY,30,5151.21,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T21:16:04.272959
REC-85cfb299,CASE-2009,INSUFFICIENT_FUNDS,67,RETRY,30,3116.42,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:04.272959
REC-a3912324,CASE-2010,INSUFFICIENT_FUNDS,47,RETRY,30,535.18,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:04.272959
REC-d18affa3,CASE-2011,INSUFFICIENT_FUNDS,51,RETRY,30,582.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T17:16:04.272959
REC-734b693d,CASE-2012,INSUFFICIENT_FUNDS,48,RETRY,30,5587.47,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T08:16:04.272959
REC-51eba78f,CASE-2013,TEMPORARY_FAILURE,79,RETRY,30,1703.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T04:16:04.272959
REC-7ac0c020,CASE-2014,INSUFFICIENT_FUNDS,59,RETRY,30,2151.93,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T22:16:04.272959
