id,source_type,source_id,customer_id,amount_at_risk,problem_type,recovery_score,risk_level,recommended_action,policy_decision,status,retry_count,max_retries,created_at
CASE-1021,TRANSACTION,TX-94F15833,CUST-1177,2000.0,FAILED_PAYMENT,87,LOW,RETRY,AUTO,SCHEDULED,0,2,2026-08-28T09:16:04.270951
CASE-1032,TRANSACTION,TX-4587CB84,CUST-1036,8500.0,CHECKOUT_ABANDONMENT,75,MEDIUM,REMIND,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T18:16:04.270951
CASE-1048,TRANSACTION,TX-008BEDC7,CUST-1210,25000.0,FAILED_PAYMENT,10,HIGH,STOP,BLOCK,BLOCKED,0,2,2026-08-26T19:16:04.270951
CASE-1088,TRANSACTION,TX-C13D9B48,CUST-1216,2000.0,SUBSCRIPTION_FAILURE,65,MEDIUM,RETRY,HUMAN,OPEN,1,2,2026-08-27T08:16:04.272959
CASE-1102,TRANSACTION,TX-DC762998,CUST-1194,75000.0,OVERDUE_INVOICE,55,HIGH,ESCALATE,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T17:16:04.272959
CASE-2005,TRANSACTION,TX-216C35E2,CUST-1069,11682.23,FAILED_PAYMENT,79,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T01:16:04.272959
CASE-2006,TRANSACTION,TX-EADEC019,CUST-1271,7182.23,FAILED_PAYMENT,70,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T22:16:04.272959
CASE-2007,TRANSACTION,TX-98D30E49,CUST-1153,1181.23,FAILED_PAYMENT,93,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-26T14:16:04.272959
CASE-2008,TRANSACTION,TX-AA3E5E2A,CUST-1273,7182.23,FAILED_PAYMENT,72,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T21:16:04.272959
CASE-2009,TRANSACTION,TX-5D86C388,CUST-1080,4681.23,FAILED_PAYMENT,67,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T14:16:04.272959
CASE-2010,TRANSACTION,TX-2DE3CBDF,CUST-1215,1181.23,FAILED_PAYMENT,47,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T23:16:04.272959
CASE-2011,TRANSACTION,TX-38EA4DEF,CUST-1018,1181.23,FAILED_PAYMENT,51,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T17:16:04.272959
CASE-2012,TRANSACTION,TX-F002255A,CUST-1126,11682.23,FAILED_PAYMENT,48,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T08:16:04.272959
CASE-2013,TRANSACTION,TX-90E27A99,CUST-1112,2181.23,FAILED_PAYMENT,79,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T04:16:04.272959
CASE-2014,TRANSACTION,TX-D3302974,CUST-1295,3681.23,FAILED_PAYMENT,59,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T22:16:04.272959
CASE-2015,TRANSACTION,TX-35C25470,CUST-1122,11682.23,FAILED_PAYMENT,65,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T18:16:04.272959
CASE-2016,TRANSACTION,TX-6FBB0F8B,CUST-1212,7182.23,FAILED_PAYMENT,59,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T09:16:04.272959
CASE-2017,TRANSACTION,TX-42CD9390,CUST-1090,7182.23,FAILED_PAYMENT,82,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T05:16:04.272959
CASE-2018,TRANSACTION,TX-001599FE,CUST-1196,1181.23,FAILED_PAYMENT,67,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T10:16:04.274968
CASE-2019,TRANSACTION,TX-21CDEA7B,CUST-1154,4681.23,FAILED_PAYMENT,54,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T02:16:04.274968
CASE-2020,TRANSACTION,TX-68FBC4B8,CUST-1116,4681.23,FAILED_PAYMENT,60,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T03:16:04.274968
CASE-2021,TRANSACTION,TX-9F41DEDA,CUST-1288,4681.23,FAILED_PAYMENT,48,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T01:16:04.274968
CASE-2022,TRANSACTION,TX-D9A92F77,CUST-1199,7182.23,FAILED_PAYMENT,53,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T23:16:04.274968
CASE-2023,TRANSACTION,TX-1BD4078B,CUST-1231,3681.23,FAILED_PAYMENT,86,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-27T02:16:04.274968
CASE-2024,TRANSACTION,TX-9CFA3F3B,CUST-1027,11682.23,FAILED_PAYMENT,57,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T17:16:04.274968
CASE-2025,TRANSACTION,TX-9F1DBF43,CUST-1021,7182.23,FAILED_PAYMENT,83,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T23:16:04.274968
CASE-2026,TRANSACTION,TX-608B27F4,CUST-1287,11682.23,FAILED_PAYMENT,87,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T23:16:04.274968
CASE-2027,TRANSACTION,TX-3DC53804,CUST-1008,3681.23,FAILED_PAYMENT,64,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T13:16:04.274968
CASE-2028,TRANSACTION,TX-077AFC4F,CUST-1246,1181.23,FAILED_PAYMENT,92,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-26T22:16:04.274968
CASE-2029,TRANSACTION,TX-AB9404F4,CUST-1204,11682.23,FAILED_PAYMENT,58,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T16:16:04.274968
CASE-2030,TRANSACTION,TX-12455110,CUST-1239,3681.23,FAILED_PAYMENT,69,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T20:16:04.274968
CASE-2031,TRANSACTION,TX-1EB20DF1,CUST-1255,3681.23,FAILED_PAYMENT,77,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T14:16:04.274968
CASE-2032,TRANSACTION,TX-D3BF0AD3,CUST-1105,4681.23,FAILED_PAYMENT,93,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-27T10:16:04.276625
CASE-2033,TRANSACTION,TX-1331DDFB,CUST-1075,1181.23,FAILED_PAYMENT,81,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-27T01:16:04.276625
CASE-2034,TRANSACTION,TX-7B97FD8B,CUST-1214,7182.23,FAILED_PAYMENT,82,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T00:16:04.276625
CASE-2035,TRANSACTION,TX-9247986C,CUST-1195,3681.23,FAILED_PAYMENT,59,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T01:16:04.276625
CASE-2036,TRANSACTION,TX-B7A904E1,CUST-1173,11682.23,FAILED_PAYMENT,88,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T14:16:04.276625
CASE-2037,TRANSACTION,TX-99D269C0,CUST-1252,11682.23,FAILED_PAYMENT,92,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T14:16:04.276625
CASE-2038,TRANSACTION,TX-6DF36CEB,CUST-1072,3681.23,FAILED_PAYMENT,55,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T02:16:04.276625
CASE-2039,TRANSACTION,TX-79AB2FC2,CUST-1269,11682.23,FAILED_PAYMENT,48,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T18:16:04.276625
CASE-2040,TRANSACTION,TX-D20C75DF,CUST-1071,1181.23,FAILED_PAYMENT,93,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-26T15:16:04.276625
CASE-2041,TRANSACTION,TX-43EFC304,CUST-1112,2181.23,FAILED_PAYMENT,45,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T09:16:04.276625
CASE-2042,TRANSACTION,TX-00B88EE6,CUST-1248,7182.23,FAILED_PAYMENT,85,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T12:16:04.276625
CASE-2043,TRANSACTION,TX-E3352802,CUST-1211,7182.23,FAILED_PAYMENT,80,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T03:16:04.276625
CASE-2044,TRANSACTION,TX-A878963B,CUST-1275,11682.23,FAILED_PAYMENT,62,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T04:16:04.276625
CASE-2045,TRANSACTION,TX-8C2ED071,CUST-1221,11682.23,FAILED_PAYMENT,88,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T06:16:04.276625
CASE-2046,TRANSACTION,TX-5D592198,CUST-1124,7182.23,FAILED_PAYMENT,54,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T03:16:04.276625
CASE-2047,TRANSACTION,TX-08B631C2,CUST-1137,3681.23,FAILED_PAYMENT,67,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T13:16:04.276625
CASE-2048,TRANSACTION,TX-AA917F48,CUST-1290,4681.23,FAILED_PAYMENT,74,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T22:16:04.276625
CASE-2049,TRANSACTION,TX-F735CD70,CUST-1042,3681.23,FAILED_PAYMENT,88,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-27T11:16:04.276625
CASE-2050,TRANSACTION,TX-78ACCF6F,CUST-1283,4681.23,FAILED_PAYMENT,69,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T20:16:04.278632
CASE-2051,TRANSACTION,TX-4A1E509E,CUST-1256,1181.23,FAILED_PAYMENT,89,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-27T15:16:04.278632
CASE-2052,TRANSACTION,TX-C335BAB9,CUST-1271,7182.23,FAILED_PAYMENT,51,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T23:16:04.278632
CASE-2053,TRANSACTION,TX-AD5584B1,CUST-1244,11682.23,FAILED_PAYMENT,81,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T08:16:04.278632
CASE-2054,TRANSACTION,TX-FF904083,CUST-1279,11682.23,FAILED_PAYMENT,62,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T16:16:04.278632
CASE-2055,TRANSACTION,TX-F721471E,CUST-1074,1181.23,FAILED_PAYMENT,58,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T17:16:04.278632
CASE-2056,TRANSACTION,TX-0BEEEBE3,CUST-1200,2181.23,FAILED_PAYMENT,81,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-26T13:16:04.278632
CASE-2057,TRANSACTION,TX-19D8D038,CUST-1041,2181.23,FAILED_PAYMENT,95,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-28T06:16:04.278632
CASE-2058,TRANSACTION,TX-971F1320,CUST-1039,4681.23,FAILED_PAYMENT,59,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T21:16:04.278632
CASE-2059,TRANSACTION,TX-437C4270,CUST-1168,7182.23,FAILED_PAYMENT,70,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T19:16:04.278632
CASE-2060,TRANSACTION,TX-6EE6E37C,CUST-1117,4681.23,FAILED_PAYMENT,76,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T12:16:04.278632
CASE-2061,TRANSACTION,TX-4BECB2A8,CUST-1300,4681.23,FAILED_PAYMENT,56,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T21:16:04.278632
CASE-2062,TRANSACTION,TX-62D41795,CUST-1038,3681.23,FAILED_PAYMENT,60,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T03:16:04.278632
CASE-2063,TRANSACTION,TX-C94413B8,CUST-1079,4681.23,FAILED_PAYMENT,90,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-27T13:16:04.278632
CASE-2064,TRANSACTION,TX-30F8966B,CUST-1003,1181.23,FAILED_PAYMENT,50,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T13:16:04.278632
CASE-2065,TRANSACTION,TX-7AEAD9A3,CUST-1068,3681.23,FAILED_PAYMENT,51,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T09:16:04.278632
CASE-2066,TRANSACTION,TX-0FD7EDF5,CUST-1209,4681.23,FAILED_PAYMENT,80,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-28T07:16:04.278632
CASE-2067,TRANSACTION,TX-80B7DF2B,CUST-1167,3681.23,FAILED_PAYMENT,80,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-27T18:16:04.278632
CASE-2068,TRANSACTION,TX-55A31A48,CUST-1044,4681.23,FAILED_PAYMENT,69,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T03:16:04.278632
CASE-2069,TRANSACTION,TX-D81CBB03,CUST-1072,2181.23,FAILED_PAYMENT,88,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-27T19:16:04.278632
CASE-2070,TRANSACTION,TX-8FF66714,CUST-1033,4681.23,FAILED_PAYMENT,54,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T19:16:04.278632
CASE-2071,TRANSACTION,TX-9633BCCC,CUST-1248,4681.23,FAILED_PAYMENT,64,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T20:16:04.278632
CASE-2072,TRANSACTION,TX-07CA4A9D,CUST-1101,2181.23,FAILED_PAYMENT,91,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-28T04:16:04.278632
CASE-2073,TRANSACTION,TX-8098A181,CUST-1203,3681.23,FAILED_PAYMENT,45,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T12:16:04.278632
CASE-2074,TRANSACTION,TX-D899BA92,CUST-1172,3681.23,FAILED_PAYMENT,73,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T22:16:04.278632
CASE-2075,TRANSACTION,TX-F04D3DBC,CUST-1165,2181.23,FAILED_PAYMENT,64,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T16:16:04.278632
CASE-2076,TRANSACTION,TX-C3DEEFAC,CUST-1164,2181.23,FAILED_PAYMENT,70,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T16:16:04.278632
CASE-2077,TRANSACTION,TX-36DBEF3D,CUST-1295,11682.23,FAILED_PAYMENT,76,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T12:16:04.278632
CASE-2078,TRANSACTION,TX-AA6E97F0,CUST-1059,3681.23,FAILED_PAYMENT,95,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-27T02:16:04.278632
CASE-2079,TRANSACTION,TX-41C9F3EF,CUST-1014,2181.23,FAILED_PAYMENT,88,LOW,RETRY,AUTO,BLOCKED,0,2,2026-08-27T23:16:04.278632
CASE-2080,TRANSACTION,TX-D5DAD6A3,CUST-1036,4681.23,FAILED_PAYMENT,63,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T05:16:04.278632
