id,customer_id,amount,currency,payment_method,status,failure_reason,payment_state,possible_customer_debit,fraud_signal,retry_count,created_at
TX-94F15833,CUST-1177,2000.0,INR,CARD,FAILED,TEMPORARY_BANK_ERROR,CLEAR,False,False,0,2026-08-27T02:16:04.270951
TX-4587CB84,CUST-1036,8500.0,INR,NACH,FAILED,SESSION_TIMEOUT,CLEAR,False,False,0,2026-08-28T10:16:04.270951
TX-008BEDC7,CUST-1210,25000.0,INR,UPI,AMBIGUOUS,GATEWAY_TIMEOUT_AMBIGUOUS,AMBIGUOUS,True,False,0,2026-08-28T04:16:04.270951
TX-C13D9B48,CUST-1216,2000.0,INR,NETBANKING,FAILED,CARD_EXPIRED,CLEAR,False,False,1,2026-08-27T12:16:04.270951
TX-DC762998,CUST-1194,75000.0,INR,NACH,FAILED,INVOICE_OVERDUE_18_DAYS,CLEAR,False,False,0,2026-08-28T07:16:04.272959
TX-216C35E2,CUST-1069,11682.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-28T05:16:04.272959
TX-EADEC019,CUST-1271,7182.23,INR,UPI,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-26T14:16:04.272959
TX-98D30E49,CUST-1153,1181.23,INR,NACH,SUCCESS,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-26T17:16:04.272959
TX-AA3E5E2A,CUST-1273,7182.23,INR,NACH,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T22:16:04.272959
TX-5D86C388,CUST-1080,4681.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-28T00:16:04.272959
TX-2DE3CBDF,CUST-1215,1181.23,INR,CARD,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T21:16:04.272959
TX-38EA4DEF,CUST-1018,1181.23,INR,NACH,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-26T22:16:04.272959
TX-F002255A,CUST-1126,11682.23,INR,CARD,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T11:16:04.272959
TX-90E27A99,CUST-1112,2181.23,INR,CARD,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-28T04:16:04.272959
TX-D3302974,CUST-1295,3681.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T00:16:04.272959
TX-35C25470,CUST-1122,11682.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-28T03:16:04.272959
TX-6FBB0F8B,CUST-1212,7182.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T19:16:04.272959
TX-42CD9390,CUST-1090,7182.23,INR,NACH,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T01:16:04.272959
TX-001599FE,CUST-1196,1181.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-26T16:16:04.272959
TX-21CDEA7B,CUST-1154,4681.23,INR,NACH,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-28T01:16:04.274968
TX-68FBC4B8,CUST-1116,4681.23,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-26T15:16:04.274968
TX-9F41DEDA,CUST-1288,4681.23,INR,NACH,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T10:16:04.274968
TX-D9A92F77,CUST-1199,7182.23,INR,UPI,FAILED,INSUFFICIENT_FUNDS,CLEAR,False,False,0,2026-08-27T20:16:04.274968
