id,case_id,status,ai_recommendation,reason,created_at
APP-4118a9a3,CASE-1032,PENDING,"Recommend REMIND delay 30m. Amount ₹8,500.00 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T18:16:03.992776
APP-774ca626,CASE-1088,PENDING,"Recommend RETRY delay 30m. Amount ₹2,000.00 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T08:16:03.992776
APP-0e365b18,CASE-1102,PENDING,"Recommend ESCALATE delay 30m. Amount ₹75,000.00 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:03.995285
APP-25b03b11,CASE-2005,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T01:16:03.995285
APP-23c160f0,CASE-2006,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T22:16:03.995285
APP-bb062d1b,CASE-2008,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T21:16:03.995285
APP-067cfd60,CASE-2009,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:03.995285
APP-a1818274,CASE-2010,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:03.996318
APP-20a30c8e,CASE-2011,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:03.996318
APP-4f28b725,CASE-2012,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T08:16:03.996318
APP-74d400a7,CASE-2013,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T04:16:03.996318
APP-923fdc8d,CASE-2014,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T22:16:03.996318
APP-a288068f,CASE-2015,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:03.996318
APP-f25df10b,CASE-2016,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T09:16:03.996318
APP-8cb416e0,CASE-2017,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T05:16:03.996318
APP-6fa4f565,CASE-2018,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T10:16:03.996318
APP-32a464a9,CASE-2019,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T02:16:03.997328
APP-d9f00cd6,CASE-2020,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T03:16:03.997328
APP-0cde5d79,CASE-2021,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T01:16:03.997328
APP-d54052db,CASE-2022,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:03.997328
APP-b8a17ab9,CASE-2024,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:03.997328
APP-b59a6dbd,CASE-2025,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T23:16:03.998341
APP-368ef6e2,CASE-2026,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:03.998341
APP-a252e0ba,CASE-2027,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:03.998341
APP-28ad57e9,CASE-2029,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:03.998341
APP-dfad1d03,CASE-2030,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T20:16:03.998341
APP-c3b1237c,CASE-2031,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:03.998341
