id,case_id,event_type,actor_type,actor_id,reason,metadata_json,timestamp
AUD-0fa6a0d7,CASE-1021,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,000.00","{""amount_at_risk"": 2000.0, ""score"": 87, ""policy"": ""AUTO""}",2026-08-28T09:16:03.992776
AUD-7aedf91e,CASE-1032,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for CHECKOUT_ABANDONMENT amount ₹8,500.00","{""amount_at_risk"": 8500.0, ""score"": 75, ""policy"": ""HUMAN""}",2026-08-27T18:16:03.992776
AUD-99c77154,CASE-1048,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹25,000.00","{""amount_at_risk"": 25000.0, ""score"": 10, ""policy"": ""BLOCK""}",2026-08-26T19:16:03.992776
AUD-3a19b5b9,CASE-1088,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for SUBSCRIPTION_FAILURE amount ₹2,000.00","{""amount_at_risk"": 2000.0, ""score"": 65, ""policy"": ""HUMAN""}",2026-08-27T08:16:03.992776
AUD-f628fa50,CASE-1102,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for OVERDUE_INVOICE amount ₹75,000.00","{""amount_at_risk"": 75000.0, ""score"": 55, ""policy"": ""HUMAN""}",2026-08-26T17:16:03.995285
AUD-7088b177,CASE-2005,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 79, ""policy"": ""HUMAN""}",2026-08-28T01:16:03.995285
AUD-c7612d06,CASE-2006,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 70, ""policy"": ""HUMAN""}",2026-08-27T22:16:03.995285
AUD-8da7345f,CASE-2007,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 93, ""policy"": ""AUTO""}",2026-08-26T14:16:03.995285
AUD-fc939515,CASE-2008,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 72, ""policy"": ""HUMAN""}",2026-08-27T21:16:03.995285
AUD-4427db15,CASE-2009,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 67, ""policy"": ""HUMAN""}",2026-08-26T14:16:03.995285
AUD-8a900870,CASE-2010,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 47, ""policy"": ""HUMAN""}",2026-08-27T23:16:03.996318
AUD-f86ac0c3,CASE-2011,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 51, ""policy"": ""HUMAN""}",2026-08-26T17:16:03.996318
AUD-bd49e69e,CASE-2012,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 48, ""policy"": ""HUMAN""}",2026-08-27T08:16:03.996318
AUD-7dd4b038,CASE-2013,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹2,499.00","{""amount_at_risk"": 2499.0, ""score"": 79, ""policy"": ""HUMAN""}",2026-08-27T04:16:03.996318
AUD-3ad21530,CASE-2014,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹3,999.00","{""amount_at_risk"": 3999.0, ""score"": 59, ""policy"": ""HUMAN""}",2026-08-26T22:16:03.996318
AUD-9d561be4,CASE-2015,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹12,000.00","{""amount_at_risk"": 12000.0, ""score"": 65, ""policy"": ""HUMAN""}",2026-08-26T18:16:03.996318
AUD-7051fb57,CASE-2016,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 59, ""policy"": ""HUMAN""}",2026-08-28T09:16:03.996318
AUD-b48a49ec,CASE-2017,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 82, ""policy"": ""HUMAN""}",2026-08-27T05:16:03.996318
AUD-7e1e5755,CASE-2018,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹1,499.00","{""amount_at_risk"": 1499.0, ""score"": 67, ""policy"": ""HUMAN""}",2026-08-27T10:16:03.996318
AUD-b5c4a990,CASE-2019,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 54, ""policy"": ""HUMAN""}",2026-08-27T02:16:03.997328
AUD-aa09cab5,CASE-2020,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 60, ""policy"": ""HUMAN""}",2026-08-28T03:16:03.997328
AUD-7cba4fd1,CASE-2021,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹4,999.00","{""amount_at_risk"": 4999.0, ""score"": 48, ""policy"": ""HUMAN""}",2026-08-27T01:16:03.997328
AUD-5197ae5a,CASE-2022,CASE_CREATED,SYSTEM,SYSTEM,"Case initialized for FAILED_PAYMENT amount ₹7,500.00","{""amount_at_risk"": 7500.0, ""score"": 53, ""policy"": ""HUMAN""}",2026-08-27T23:16:03.997328
