id,case_id,diagnosis,recovery_score,recommended_action,delay_minutes,expected_recovery_value,reason,created_at
REC-91b86251,CASE-1021,TEMPORARY_FAILURE,87,RETRY,30,1720.0,AI Recommendation for FAILED_PAYMENT: TEMPORARY_BANK_ERROR,2026-08-28T09:16:03.992776
REC-26e14b45,CASE-1032,TEMPORARY_FAILURE,75,REMIND,30,6355.0,AI Recommendation for CHECKOUT_ABANDONMENT: SESSION_TIMEOUT,2026-08-27T18:16:03.992776
REC-2b86579f,CASE-1048,AMBIGUOUS_STATE,10,STOP,30,2480.0,AI Recommendation for FAILED_PAYMENT: GATEWAY_TIMEOUT_AMBIGUOUS,2026-08-26T19:16:03.992776
REC-7a0d76d8,CASE-1088,INSUFFICIENT_FUNDS,65,RETRY,30,1280.0,AI Recommendation for SUBSCRIPTION_FAILURE: CARD_EXPIRED,2026-08-27T08:16:03.992776
REC-a57d7dd6,CASE-1102,INSUFFICIENT_FUNDS,55,ESCALATE,30,41230.0,AI Recommendation for OVERDUE_INVOICE: INVOICE_OVERDUE_18_DAYS,2026-08-26T17:16:03.995285
REC-9ee1c04d,CASE-2005,TEMPORARY_FAILURE,79,RETRY,30,9208.96,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-28T01:16:03.995285
REC-56dc9239,CASE-2006,INSUFFICIENT_FUNDS,70,RETRY,30,5007.56,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T22:16:03.995285
REC-decb4a3d,CASE-2007,TEMPORARY_FAILURE,93,RETRY,30,1078.54,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:03.995285
REC-e0703c7e,CASE-2008,TEMPORARY_FAILURE,72,RETRY,30,5151.21,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T21:16:03.995285
REC-4093fa18,CASE-2009,INSUFFICIENT_FUNDS,67,RETRY,30,3116.42,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T14:16:03.995285
REC-bbec5d51,CASE-2010,INSUFFICIENT_FUNDS,47,RETRY,30,535.18,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T23:16:03.996318
REC-7513f97d,CASE-2011,INSUFFICIENT_FUNDS,51,RETRY,30,582.43,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-26T17:16:03.996318
REC-5baba6e6,CASE-2012,INSUFFICIENT_FUNDS,48,RETRY,30,5587.47,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T08:16:03.996318
REC-aea22fe4,CASE-2013,TEMPORARY_FAILURE,79,RETRY,30,1703.17,AI Recommendation for FAILED_PAYMENT: INSUFFICIENT_FUNDS,2026-08-27T04:16:03.996318
