id,source_type,source_id,customer_id,amount_at_risk,problem_type,recovery_score,risk_level,recommended_action,policy_decision,status,retry_count,max_retries,created_at
CASE-1021,TRANSACTION,TX-F4EF814A,CUST-1177,2000.0,FAILED_PAYMENT,87,LOW,RETRY,AUTO,SCHEDULED,0,2,2026-08-28T09:16:03.992776
CASE-1032,TRANSACTION,TX-C001E456,CUST-1036,8500.0,CHECKOUT_ABANDONMENT,75,MEDIUM,REMIND,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T18:16:03.992776
CASE-1048,TRANSACTION,TX-72C0009E,CUST-1210,25000.0,FAILED_PAYMENT,10,HIGH,STOP,BLOCK,BLOCKED,0,2,2026-08-26T19:16:03.992776
CASE-1088,TRANSACTION,TX-A30F151F,CUST-1216,2000.0,SUBSCRIPTION_FAILURE,65,MEDIUM,RETRY,HUMAN,OPEN,1,2,2026-08-27T08:16:03.992776
CASE-1102,TRANSACTION,TX-A1186826,CUST-1194,75000.0,OVERDUE_INVOICE,55,HIGH,ESCALATE,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T17:16:03.995285
CASE-2005,TRANSACTION,TX-CF14CE57,CUST-1069,11682.23,FAILED_PAYMENT,79,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-28T01:16:03.995285
CASE-2006,TRANSACTION,TX-9FEB4669,CUST-1271,7182.23,FAILED_PAYMENT,70,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T22:16:03.995285
CASE-2007,TRANSACTION,TX-AAA9B5DB,CUST-1153,1181.23,FAILED_PAYMENT,93,LOW,RETRY,AUTO,RECOVERED,0,2,2026-08-26T14:16:03.995285
CASE-2008,TRANSACTION,TX-C8269751,CUST-1273,7182.23,FAILED_PAYMENT,72,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T21:16:03.995285
CASE-2009,TRANSACTION,TX-0C4419D0,CUST-1080,4681.23,FAILED_PAYMENT,67,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T14:16:03.995285
CASE-2010,TRANSACTION,TX-B80E60AA,CUST-1215,1181.23,FAILED_PAYMENT,47,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T23:16:03.996318
CASE-2011,TRANSACTION,TX-7965BC27,CUST-1018,1181.23,FAILED_PAYMENT,51,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-26T17:16:03.996318
CASE-2012,TRANSACTION,TX-E1373104,CUST-1126,11682.23,FAILED_PAYMENT,48,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T08:16:03.996318
CASE-2013,TRANSACTION,TX-BED09C24,CUST-1112,2181.23,FAILED_PAYMENT,79,MEDIUM,RETRY,HUMAN,AWAITING_APPROVAL,0,2,2026-08-27T04:16:03.996318
